distance,full,20%,40%,nobtw
0,2.50,2.00,1.50,2.29
1,2.50,2.00,1.50,2.29
2,2.50,2.00,1.50,2.29
3,2.50,2.00,1.50,2.29
4,2.50,2.00,1.50,2.29
5,2.50,2.00,1.50,2.29
6,2.50,2.00,1.50,2.29
7,2.50,2.00,1.50,2.29
8,2.50,2.00,1.50,2.29
9,2.70,2.16,1.62,2.48
10,2.90,2.32,1.74,2.66
11,3.10,2.48,1.86,2.84
12,3.30,2.64,1.98,3.03
13,3.50,2.80,2.10,3.21
14,3.70,2.96,2.22,3.39
15,3.90,3.12,2.34,3.58
16,4.10,3.28,2.46,3.76
17,4.30,3.44,2.58,3.94
18,4.40,3.52,2.64,4.04
19,4.70,3.76,2.82,4.31
20,4.80,3.84,2.88,4.40
21,5.00,4.00,3.00,4.59
22,5.20,4.16,3.12,4.77
23,5.40,4.32,3.24,4.95
24,5.60,4.48,3.36,5.14
25,5.80,4.64,3.48,5.32
26,6.00,4.80,3.60,5.50
27,6.10,4.88,3.66,5.60
28,6.30,5.04,3.78,5.78
29,6.50,5.20,3.90,5.96
30,6.70,5.36,4.02,6.15
31,6.90,5.52,4.14,6.33
32,7.10,5.68,4.26,6.51
33,7.30,5.84,4.38,6.70
34,7.50,6.00,4.50,6.88
35,7.60,6.08,4.56,6.97
36,7.80,6.24,4.68,7.16
37,8.00,6.40,4.80,7.34
38,8.20,6.56,4.92,7.52
39,8.40,6.72,5.04,7.71
40,8.60,6.88,5.16,7.89
41,8.80,7.04,5.28,8.07
42,8.90,7.12,5.34,8.17
43,9.10,7.28,5.46,8.35
44,9.30,7.44,5.58,8.53
45,9.50,7.60,5.70,8.72
46,9.70,7.76,5.82,8.90
47,9.90,7.92,5.94,9.08
48,10.10,8.08,6.06,9.27
49,10.20,8.16,6.12,9.36
50,10.40,8.32,6.24,9.54
51,10.60,8.48,6.36,9.72
52,10.80,8.64,6.48,9.91
53,11.00,8.80,6.60,10.09
54,11.20,8.96,6.72,10.28
55,11.40,9.12,6.84,10.46
56,11.50,9.20,6.90,10.55
57,11.70,9.36,7.02,10.73
58,11.90,9.52,7.14,10.92
59,12.10,9.68,7.26,11.10
60,12.30,9.84,7.38,11.28
61,12.50,10.00,7.50,11.47
62,12.70,10.16,7.62,11.65
63,12.80,10.24,7.68,11.74
64,13.00,10.40,7.80,11.93
65,13.20,10.56,7.92,12.11
66,13.40,10.72,8.04,12.29
67,13.60,10.88,8.16,12.48
68,13.80,11.04,8.28,12.66
69,14.00,11.20,8.40,12.84
70,14.20,11.36,8.52,13.03
71,14.30,11.44,8.58,13.12
72,14.50,11.60,8.70,13.30
73,14.70,11.76,8.82,13.49
74,14.90,11.92,8.94,13.67
75,15.10,12.08,9.06,13.85
76,15.30,12.24,9.18,14.04
77,15.50,12.40,9.30,14.22
78,15.60,12.48,9.36,14.31
79,15.80,12.64,9.48,14.50
80,16.00,12.80,9.60,14.68
81,16.20,12.96,9.72,14.86
82,16.30,13.04,9.78,14.95
83,16.50,13.20,9.90,15.14
84,16.60,13.28,9.96,15.23
85,16.80,13.44,10.08,15.41
86,16.90,13.52,10.14,15.50
87,17.10,13.68,10.26,15.69
88,17.30,13.84,10.38,15.87
89,17.40,13.92,10.44,15.96
90,17.60,14.08,10.56,16.15
91,17.70,14.16,10.62,16.24
92,17.90,14.32,10.74,16.42
93,18.00,14.40,10.80,16.51
94,18.10,14.48,10.86,16.61
95,18.30,14.64,10.98,16.79
96,18.40,14.72,11.04,16.88
97,18.60,14.88,11.16,17.06
98,18.70,14.96,11.22,17.16
99,18.80,15.04,11.28,17.25
100,19.00,15.20,11.40,17.43
101,19.10,15.28,11.46,17.52
102,19.30,15.44,11.58,17.71
103,19.40,15.52,11.64,17.80
104,19.50,15.60,11.70,17.89
105,19.60,15.68,11.76,17.98
106,19.80,15.84,11.88,18.17
107,19.90,15.92,11.94,18.26
108,20.00,16.00,12.00,18.35
109,20.20,16.16,12.12,18.53
110,20.30,16.24,12.18,18.62
111,20.40,16.32,12.24,18.72
112,20.60,16.48,12.36,18.90
113,20.70,16.56,12.42,18.99
114,20.80,16.64,12.48,19.08
115,21.00,16.80,12.60,19.27
116,21.10,16.88,12.66,19.36
117,21.20,16.96,12.72,19.45
118,21.40,17.12,12.84,19.63
119,21.50,17.20,12.90,19.72
120,21.60,17.28,12.96,19.82
121,21.70,17.36,13.02,19.91
122,21.80,17.44,13.08,20.00
123,21.90,17.52,13.14,20.09
124,22.00,17.60,13.20,20.18
125,22.00,17.60,13.20,20.18
126,22.10,17.68,13.26,20.28
127,22.20,17.76,13.32,20.37
128,22.30,17.84,13.38,20.46
129,22.40,17.92,13.44,20.55
130,22.50,18.00,13.50,20.64
131,22.50,18.00,13.50,20.64
132,22.60,18.08,13.56,20.73
133,22.70,18.16,13.62,20.83
134,22.80,18.24,13.68,20.92
135,22.90,18.32,13.74,21.01
136,23.00,18.40,13.80,21.10
137,23.10,18.48,13.86,21.19
138,23.10,18.48,13.86,21.19
139,23.20,18.56,13.92,21.28
140,23.30,18.64,13.98,21.38
141,23.40,18.72,14.04,21.47
142,23.50,18.80,14.10,21.56
143,23.60,18.88,14.16,21.65
144,23.60,18.88,14.16,21.65
145,23.70,18.96,14.22,21.74
146,23.80,19.04,14.28,21.83
147,23.90,19.12,14.34,21.93
148,24.00,19.20,14.40,22.02
149,24.10,19.28,14.46,22.11
150,24.20,19.36,14.52,22.20
